terminal_id,terminal_port,terminal_unlocode,terminal_unlocode_alt,terminal_facility_name,terminal_company_name,terminal_lat,terminal_lon,terminal_address,terminal_website,TAC1,A,P1/AL3,BI,SI,O
AET,Antwerp,BEANR,,ANTWERP EUROTERMINAL NV (K1329-K1347),ANTWERP EUROTERMINAL NV,"N 51°16'23""","E 004°12'12""","AET, 1329-1347, Blikken 1333, 9130 Verrebroek, Belgium",https://www.portofantwerp.com/en/node/4081,0,1,0,0,0,0
K869,Antwerp,BEANR,,EUROPA TERMINAL (K851-K869),PSA-ANTWERP,"N 51°20'18""","E 004°16'34""","PSA Antwerp, 851-869, Scheldelaan 495, 2040 Antwerp, Belgium",https://www.portofantwerp.com/en/node/4092,0,0,1,0,0,0
ACOT,Antwerp,BEANR,,ANTWERP CONTAINER TERMINAL (K730),ANTWERP CONTAINER TERMINAL - SEA INVEST,"N 51°19'27""","E 004°20'47""","Sea-invest, 730, Antwerpsebaan 57, 2040 Antwerp, Belgium",https://www.sea-invest.com,1,0,0,0,0,0
DMT,Baltimore,USBAL,,DUNDALK MARINE TERMINAL,PORTS AMERICA CHESAPEAKE,"N 39°14'33""","W 076°31'31""","2700 Broening Highway, Baltimore, MD 21222, USA",https://www.pachesapeake.com/GateHours?SiteId=Dundalk,0,1,0,0,0,0
SMT,Baltimore,USBAL,,SEAGIRT MARINE TERMINAL,"PORTS AMERICA BALTIMORE, INC.","N 39°15'18""","W 076°32'48""","2600 Broening Highway, Baltimore, MD 21222, USA",https://www.pachesapeake.com/GateHours?SiteId=Seagirt,0,1,0,0,0,0
NCMT,Charleston,USCHS,,NORTH CHARLESTON MARINE TERMINAL,SOUTH CAROLINA STATE PORTS AUTHORITY,"N 32°54'15""","W 079°57'30""","1000 Remount Rd North Charleston, SC 29406, USA",http://scspa.com/locations/north-charleston-terminal/,0,0,1,0,0,0
PSAP,Chester,USPHL,,PSA PENN TERMINALS,PSA PENN TERMINALS LLC,"N 39°51'02""","W 075°20'26""","1 Saville Avenue, Eddystone, PA 19022, USA",https://psa-pennterminals.com/,1,0,0,0,0,0
RDT,Cork,IEORK,,RINGASKIDDY DEEPWATER TERMINAL,PORT OF CORK,"N 51°50'02""","W 008°19'43""","Custom House, Custom House Street, Port of Cork Company, Ireland",https://www.portofcork.ie,1,0,0,0,0,0
OHPANC,Fernandina,USFEB,,Port of Fernandina Worldwide Terminals,Ocean Highway & Port Authority Nassau County,"N 30°40'43""","W 81°27'49""","501 N. 3rd Street, Fernandina Beach, FL 32034, USA",https://www.portoffernandina.org/,0,0,0,0,1,0
FCOVE,Halifax,CAHAL,,FAIRVIEW COVE CONTAINER TERMINAL,CERES HALIFAX INC.,"N 44°40'04""","W 063°37'38""","6708 Bayne Street, Halifax, Nova Scotia B3K 5M6, Canada",https://www.ceresglobal.com/locations/halifax.html,0,1,0,0,0,0
UCT,Hamburg,DEHAM,,UNIKAI - UCT (O'SWALDKAI),UNIKAI LAGEREI- UND SPEDITIONSGESELLSCHAFT,"N 53°31'51""","E 010°00'01""","Dessauer Str. 10, 20457 Hamburg, Germany",https://www.unikai.de/index.php/en/,0,1,0,0,0,0
CTA,Hamburg,DEHAM,,HHLA CONTAINER TERMINAL ALTENWERDER (CTA),HHLA (HAMBURGER HAFEN UND LOGISTIK AG),"N 53°30'03""","E 009°56'11""","Am Ballinkai 1, 21129 Hamburg, Germany",https://hhla.de/en/container/cta.html,0,0,1,0,0,0
PHCD,Hamilton,BMBDA ,,Port of Hamilton Cargo Docks,Stevedoring Services Ltd,"N 32°17'32""","W 64°46'48""","38 Front Street Hamilton, Bermuda",http://polaris.bm/,0,0,0,1,1,1
BCMT,Houston,USHOU,,BARBOURS CUT MARINE TERMINAL,PORT OF HOUSTON AUTHORITY,"N 29°40'48""","W 094°59'54""","1515 E. Barbours Cut Boulevard, La Porte, TX 77571, USA",https://porthouston.com/container-terminals/barbours-cut-container-terminal/,0,0,1,0,0,0
RSCT,Liverpool,GBLIV,,ROYAL SEAFORTH CONTAINER TERMINAL (RSCT),MERSEY DOCKS & HARBOUR COMPANY LTD.,"N 53°27'41""","W 003°01'18""","Royal Seaforth Container Terminal, Liverpool L21 1JD, United Kingdom",https://www.peelports.com/ports/liverpool,0,1,0,0,0,0
DPWLG,London,GBLGP,,LONDON GATEWAY,DP WORLD,"N 51°30'26""","E 000°29'00""","1 London Gateway, Stanford-le-Hope, Essex, SS17 9DY, United Kingdom",https://www.londongateway.com/,0,0,1,0,0,0
PNCT,New York/New Jersey,USNYC,USEWR,PORT NEWARK CONTAINER TERMINAL,PORTS AMERICA,"N 40°41'03""","W 074°09'02""","241 Calcutta Street, Port Newark, NJ 07114, USA",https://www.pnct.net/content/show/Facilities,0,1,0,0,0,0
FAPS,New York/New Jersey,USNYC,USEWR,PORT NEWARK AUTO MARINE TERMINAL,"FAPS, INC. (Foreign Automotive Preparation Service)","N 40°41'45""","W 74°08'22""","325 Distribution Street, Port Newark, NJ 07114, USA",https://www.panynj.gov/port/en/shipping/automotive-logistics.html,0,1,0,0,0,0
MAHER,New York/New Jersey,USNYC,,MAHER CONTAINER TERMINAL,"MAHER TERMINALS, LLC","N 40°40'59""","W 074°09'14""","Building 1210, Corbin Street, Port Elizabeth, NJ 07201, USA",http://www.maherterminals.com/,0,0,0,0,0,1
NIT,Norfolk,USORF,,NORFOLK INTERNATIONAL TERMINALS (NIT),VIRGINIA PORT AUTHORITY,"N 36°55'33""","W 076°19'45""","7737 Hampton Blvd., Norfolk, VA 23505, USA",https://www.portofvirginia.com/facilities/norfolk-international-terminals-nit/,0,1,1,0,0,0
FIT,Port Everglades,USPEF,,FLORIDA INTERNATIONAL TERMINAL,"FLORIDA INTERNATIONAL TERMINAL, LLC","N 26°04'21""","W 080°07'00""","3800 McIntosh Road, Hollywood, FL 33316, USA",https://www.fitpev.com/index.php/en/,0,0,1,0,0,0
BIT,Salem,USSEM,,Bermuda International Terminals,Mid Atlantic Shipping and Stevedoring,"N 39°34'24""","W 75°29'08""","128 Tilbury Road, Salem, NJ 08079, USA",https://www.bermudaislander.bm/,0,0,0,1,0,0
GCMT,Savannah,USSAV,,GARDEN CITY MARINE TERMINAL,GEORGIA PORTS AUTHORITY,"N 32°07'42""","W 081°08'24""","2 Main Street, Garden City, GA 31408, USA",https://gaports.com/facilities/port-of-savannah/garden-city-terminal/,0,0,1,0,0,0
DPWS,Southampton,GBSOU,,DP WORLD SOUTHAMPTON,DP WORLD,"N 50°54'26""","W 001°27'26""","DP World Southampton, Western Docks, Southampton SO15 1DA, United Kingdom",https://www.dpworldsouthampton.com/ ,1,0,0,0,0,0
NCSPA,Wilmington,USILM,,PORT OF WILMINGTON TERMINAL,NORTH CAROLINA STATE PORT AUTHORITY,"N 34°11'34""","W 077°57'20""","1 Shipyard Boulevard, Wilmington, NC 28401, USA",https://ncports.com/port-facilities/port-of-wilmington/,1,0,0,0,0,0
